date,tone,volume,positive_mentions,negative_mentions,neutral_mentions,status
20260105T150000Z,-0.3249,0,0,0,0,success
20260105T151500Z,0.9202,0,0,0,0,success
20260105T153000Z,0.6131,0,0,0,0,success
20260105T154500Z,0.8756,0,0,0,0,success
20260105T160000Z,0,0,0,0,0,success
20260105T163000Z,0.9766,0,0,0,0,success
20260105T164500Z,-0.4057,0,0,0,0,success
20260105T170000Z,2.1277,0,0,0,0,success
20260105T171500Z,-0.3085,0,0,0,0,success
20260105T173000Z,0.3966,0,0,0,0,success
20260105T174500Z,-0.6032,0,0,0,0,success
20260105T180000Z,-1.5523,0,0,0,0,success
20260105T181500Z,-1.6539,0,0,0,0,success
20260105T183000Z,1.3216,0,0,0,0,success
20260105T184500Z,-1.8886,0,0,0,0,success
20260105T190000Z,-0.8289,0,0,0,0,success
20260105T191500Z,-0.8514,0,0,0,0,success
20260105T194500Z,0,0,0,0,0,success
